Req Number,Provider,NPI#,Contact,Email,Submitted On,Submitted By,Status,Position,Zone,Region,Division,Location,Skills,Address 1,Address 2,City,State,Postal Code,Country,Tags
REQ-ADVE-00194,"cand, new",8989898980,,test+new@goringo.com,02/03/2024,MadMax Associates,Assignment Completed,Administration Clerk,,South,Kentucky Div,Wilkenson Hospital,Data Entry,h,,Agoura Hills,California,88888,United States,
REQ-ADVE-00193,"crak, jack",5353723737,6593760372,jack@gmail.com,01/04/2024,MadMax Associates,Withdrawn,Administration Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00193,"Kurian, Joby",2312345678,5676135965,Test+gfkujk@goringo.com,01/04/2024,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abbeville,Alabama,55468,United States,
REQ-ADVE-00192,"Martin, Bob",1234567891,8897879798,Test+bob@goringo.com,12/28/2023,MadMax Associates,Assignment Completed,CRNA,one,Northeast,Kansas Div,Stark Medical Centre,"Anesthesia preparation and administration,Patient Assessment",312 Roads,,New York City,New York,10198,United States,
REQ-ADVE-00191,"hud, Robbin",2323234567,,test+robin@goringo.com,12/22/2023,Rose Staffing,Withdrawn,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",h,,Adelanto,California,32435,United States,
REQ-ADVE-00190,"Diesel, Win",5345465758,,Test+Wnicand@goringo.com,12/12/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",E123,B23,Alma,Arkansas,24356,United States,
REQ-ADVE-00190,"Pons, Bruna",6564531111,9876543567,test+bruna@goringo.com,02/06/2024,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Abanda,Alabama,76535,United States,
REQ-ADVE-00189,"Kurian, Joby",2312345678,5676135965,Test+gfkujk@goringo.com,12/12/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abbeville,Alabama,55468,United States,
REQ-ADVE-00189,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,01/16/2024,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00188,"Schittt, Rolandd",5457889444,8763454444,Test+rolanddd@goringo.com,02/19/2024,Rose Staffing,Assignment Completed,Office Clerk,,South,Div 1,LOC1,Clerical,hhh,hhh,Abanda,Alabama,74444,United States,
REQ-ADVE-00188,"Prker, Jems",7867982345,,TestPar@goringo.com,12/11/2023,Winston Medical Staffing,Assignment Completed,Accountant -  CA,,South,Div 1,LOC1,Ability to Prioritize,HN23,,Blue Hills,Connecticut,67567,United States,
REQ-ADVE-00187,"Potts, Pepper",3412321245,5645768798,Test+fghjkl@goringo.com,12/01/2023,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,h,,Abanda,Alabama,87656,United States,
REQ-ADVE-00182,"Orton, Rendy",2323456789,3333333333,Testrendy@goringo.com,11/15/2023,MadMax Associates,Assignment Completed,Accountant -  CA,one,Northeast,Kansas Div,Stark Medical Centre,Ability to Prioritize,HN23,,Adelanto,California,43234,United States,
REQ-ADVE-00180,"Ring, Roman",9090987891,1234233545,Test+ring@goringo.com,06/10/2024,MadMax Associates,Pending Name Clearance - Client,Accounts Payable Clerk,one,Northeast,Kansas Div,Stark Medical Centre,"Accounts Payable,Code,Outlook",Nashvile,hn67,Aromas,California,10071,United States,
REQ-ADVE-00180,"Herstedt, Erik",7654456765,8765445676,test+erik@goringo.com,11/09/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",u,u,Abanda,Alabama,87654,United States,
REQ-ADVE-00176,"Wells, Joan",,8765435656,test+joanwells@goringo.com,10/24/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",56,A-St.,Agoura Hills,California,76345,United States,
REQ-ADVE-00176,"Orton, Rendy",2323456789,3333333333,Testrendy@goringo.com,10/13/2023,Rose Staffing,Withdrawn,Accountant -  CA,one,Northeast,Kansas Div,Stark Medical Centre,Ability to Prioritize,HN23,,Adelanto,California,43234,United States,
REQ-ADVE-00176,"G, Aman",2134567890,,,01/01/1970,MadMax Associates,Withdrawn,Test1,one,Northeast,Kansas Div,Stark Medical Centre,"''	Interface with the Talent Acquisition Managers",HN34,,Adin,California,45645,United States,
REQ-ADVE-00176,"Lara, Brain",8786787878,,Test+BtainCan@goringo.com,10/25/2023,MadMax Associates,Withdrawn,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",H,,Agoura Hills,California,76789,United States,
REQ-ADVE-00176,"Hanks, Tom",2312343234,2123213456,Test+Tom@goringo.com,10/11/2023,MadMax Associates,Assignment Completed,Billing/Coding Coordinator,one,Northeast,Kansas Div,Stark Medical Centre,Billing Exp.,HN34,,Agoura Hills,California,43234,United States,
REQ-ADVE-00176,"Diesel, Win",5345465758,,Test+Wnicand@goringo.com,10/25/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",E123,B23,Alma,Arkansas,24356,United States,
REQ-ADVE-00176,"Lara, Brain",8786787878,,Test+BtainCan@goringo.com,10/25/2023,MadMax Associates,Withdrawn,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",H,,Agoura Hills,California,76789,United States,
REQ-ADVE-00176,"Morey, Kiran",,3423233222,Test+kk@goringo.com,10/16/2023,MadMax Associates,Withdrawn,Accounts Payable Clerk,one,Northeast,Kansas Div,Stark Medical Centre,"Accounts Payable,Code,Outlook",Test Address,2143323 Test,Bridgeport,Connecticut,10016,United States,
REQ-ADVE-00176,"Wells, Joan",,8765435656,test+joanwells@goringo.com,10/24/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",56,A-St.,Agoura Hills,California,76345,United States,
REQ-ADVE-00176,"Diesel, Win",5345465758,,Test+Wnicand@goringo.com,10/25/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",E123,B23,Alma,Arkansas,24356,United States,
REQ-ADVE-00176,"Wells, Joan",,8765435656,test+joanwells@goringo.com,10/24/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",56,A-St.,Agoura Hills,California,76345,United States,
REQ-ADVE-00170,"Martin, Bob",1234567891,8897879798,Test+bob@goringo.com,10/10/2023,MadMax Associates,Assignment Completed,CRNA,one,Northeast,Kansas Div,Stark Medical Centre,"Anesthesia preparation and administration,Patient Assessment",312 Roads,,New York City,New York,10198,United States,
REQ-ADVE-00169,"Vien, Marta",8765345243,7624245345,test+marta@goringo.com,10/09/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",y,y,Alakanuk,Alaska,78654,United States,
REQ-ADVE-00168,"Hermes, Sandra",8765344546,9876456456,Test+sandra@goringo.com,09/20/2023,Rose Staffing,Withdrawn,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",j,j,Abbeville,Alabama,75457,United States,
REQ-ADVE-00167,"Brin, Sergey",6543456786,9876556576,Test+sergey@goringo.com,09/20/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,76545,United States,
REQ-ADVE-00166,"Hanks, Tom",2312343234,2123213456,Test+Tom@goringo.com,09/19/2023,MadMax Associates,Withdrawn,Billing/Coding Coordinator,one,Northeast,Kansas Div,Stark Medical Centre,Billing Exp.,HN34,,Agoura Hills,California,43234,United States,
REQ-ADVE-00165,"Lara, Brain",8786787878,,Test+BtainCan@goringo.com,10/25/2023,MadMax Associates,Withdrawn,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",H,,Agoura Hills,California,76789,United States,
REQ-ADVE-00165,"Carg, Daniel",2345653456,,Test+Danial@goringo.com,09/19/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",HN35,,Akron,Colorado,354678987,United States,
REQ-ADVE-00164,"Wells, Joan",,8765435656,test+joanwells@goringo.com,09/15/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",56,A-St.,Agoura Hills,California,76345,United States,
REQ-ADVE-00163,"Bini, Rosser ",7834567812,7837752890,Test+Bin@goringo.com,09/13/2023,MadMax Associates,Assignment Completed,Stockroom Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Stockroom,HN73,,Alicia,Arkansas,23423,United States,
REQ-ADVE-00163,"Schitt, Twyla",7654567765,8754356768,Test+twyla@goringo.com,09/12/2023,Rose Staffing,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Alamo Lake,Arizona,32444,United States,
REQ-ADVE-00162,"Bini, Rosser ",7834567812,7837752890,Test+Bin@goringo.com,09/11/2023,Rose Staffing,Assignment Completed,Stockroom Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Stockroom,HN73,,Alicia,Arkansas,23423,United States,
REQ-ADVE-00162,"Bini, Rosser ",7834567812,7837752890,Test+Bin@goringo.com,09/11/2023,Rose Staffing,Risk Rejected,Stockroom Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Stockroom,HN73,,Alicia,Arkansas,23423,United States,
REQ-ADVE-00160,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,01/16/2024,Rose Staffing,Withdrawn,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00160,"Colgate, William",8763567684,8746789009,Test+william@goringo.com,09/08/2023,Rose Staffing,Rejected,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,87646,United States,
REQ-ADVE-00159,"Romanov, Natasha",8766678989,0654657678,Test+natasha@goringo.com,09/07/2023,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,15601 MOORESVILLE RD,,Athens,Alabama,356137308,United States,rate_card_test_div
REQ-ADVE-00158,"Rose, Abby",3214588545,2315648745,Test+test+abbyP@goringo.com,09/07/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,32456,United States,
REQ-ADVE-00157,"Orton, Rendy",2323456789,3333333333,Testrendy@goringo.com,09/05/2023,MadMax Associates,Assignment Completed,Accountant -  CA,one,Northeast,Kansas Div,Stark Medical Centre,Ability to Prioritize,HN23,,Adelanto,California,43234,United States,
REQ-ADVE-00156,"Wells, Joan",,8765435656,test+joanwells@goringo.com,09/04/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",56,A-St.,Agoura Hills,California,76345,United States,
REQ-ADVE-00156,"Wells, Joan",,8765435656,test+joanwells@goringo.com,09/04/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",56,A-St.,Agoura Hills,California,76345,United States,
REQ-ADVE-00153,"Schitt, Bob",7634567893,6567689098,Test+bob@goringo.com,09/08/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",j,j,Abanda,Alabama,87656,United States,
REQ-ADVE-00150,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,08/17/2023,Rose Staffing,Withdrawn,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00149,"Lara, Brain",8786787878,,Test+BtainCan@goringo.com,09/04/2023,MadMax Associates,Assignment Completed,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",H,,Agoura Hills,California,76789,United States,
REQ-ADVE-00149,"Castle, Frank",5687987459,4561232465,Test+frank@goringo.com,09/08/2023,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,y,Abanda,Alabama,12324,United States,
REQ-ADVE-00149,"Kurian, Joby",2312345678,5676135965,Test+gfkujk@goringo.com,08/10/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abbeville,Alabama,55468,United States,
REQ-ADVE-00149,"Boucher , Mark ",1235436783,,Test+BouCan@goringo.com,08/11/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",HN34,,Agoura Hills,California,32456,United States,
REQ-ADVE-00148,"Josel Popp, Franz",,8764678989,Test+franz@goringo.com,08/11/2023,Rose Staffing,Withdrawn,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework","1071 Bergen Street, NY 1",,Brooklyn,New York,11216,United States,
REQ-ADVE-00148,"Schittt, Rolandd",5457889444,8763454444,Test+rolanddd@goringo.com,08/10/2023,Rose Staffing,Assignment Completed,Office Clerk,,South,Div 1,LOC1,Clerical,hhh,hhh,Abanda,Alabama,74444,United States,
REQ-ADVE-00148,"upde, Ver",6278986567,3423456789,Test+upg@goringo.com,08/07/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",HN23,,Alma,Arkansas,23123,United States,
REQ-ADVE-00148,"update, version",8967564323,,test+version@goring.com,08/14/2023,Rose Staffing,Rejected,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",HN23,,Amity,Arkansas,23123,United States,
REQ-ADVE-00147,"Hermes, Sandra",8765344546,9876456456,Test+sandra@goringo.com,08/07/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Abbeville,Alabama,75457,United States,
REQ-ADVE-00147,"Gray, Tessa",,3215467894,Test+test+tessaP@goringo.com,08/01/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",test,,Adamsville,Alabama,32145,United States,
REQ-ADVE-00147,"Hayden, Robert",9879879876,9879879876,Test+hayden@goringo.com,08/04/2023,Core Staffing,Withdrawn,ER Nurse,one,Northeast,Kansas Div,Stark Medical Centre,"BSN,CEN",88 G Street,,Alicia,Arkansas,87655,United States,
REQ-ADVE-00147,"update, version",8967564323,,test+version@goring.com,07/31/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",HN23,,Amity,Arkansas,23123,United States,
REQ-ADVE-00145,"Kong, King",3453453456,,Testkong@goringo.com,06/22/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",HN34,,Agoura Hills,California,45345,United States,
REQ-ADVE-00144,"Alleria, Richard",5422324442,2110191111,Test+richard@goringo.com,07/25/2023,Core Staffing,Withdrawn,Accounts Payable Clerk,one,Northeast,Kansas Div,Stark Medical Centre,"Accounts Payable,Code,Outlook",Address 1 - 200 west test,Address 2- 7th Floor,Aguila,Arizona,22232,United States,tag 101
REQ-ADVE-00144,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,06/19/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00144,"khjjkjh, lock",3257441244,3878541632,Test+lock@goringo.com,07/05/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",l,l,Abanda,Alabama,03245,United States,
REQ-ADVE-00142,"Page, Larry",8764356775,9874567889,Test+larry@goringo.com,05/26/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",k,k,Adamsville,Alabama,87653,United States,
REQ-ADVE-00142,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,05/30/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00141,"upde, Ver",6278986567,3423456789,Test+upg@goringo.com,08/23/2023,MadMax Associates,Vendor Presentation Rejected,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",HN23,,Alma,Arkansas,23123,United States,
REQ-ADVE-00141,"Ring, Roman",9090987891,1234233545,Test+ring@goringo.com,08/16/2023,MadMax Associates,Assignment Extended,Accounts Payable Clerk,one,Northeast,Kansas Div,Stark Medical Centre,"Accounts Payable,Code,Outlook",Nashvile,hn67,Aromas,California,10071,United States,
REQ-ADVE-00141,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,05/08/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00140,"Test, Lock",2342346521,4564687456,Test+test@goringo.com,05/05/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",t,t,Akiachak,Alaska,23452,United States,
REQ-ADVE-00139,"Jobs, Steve",4567875678,9876534657,Test+steve@goringo.com,04/26/2023,Rose Staffing,Assignment Completed,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",k,k,Ak-Chin Village,Arizona,98765,United States,
REQ-ADVE-00139,"Puth, Charlie",4353535455,,Test+c@goringo.com,01/01/1970,Epic Staffing,Withdrawn,Customer Service Representative,one,Northeast,South West ,Front site,"Patient,Organized,Computer Literate",a,,Alabaster,Alabama,87989,United States,
REQ-ADVE-00137,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,04/26/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00137,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,04/19/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00136,"Cummins, Pat",5635467876,,Test+Pat@goringo.com,04/17/2023,Rose Staffing,Assignment Completed,Accounts Payable Clerk,,South,Div 1,LOC1,"Accounts Payable,Code,Outlook",Hn34,,Blue Hills,Connecticut,34234,United States,
REQ-ADVE-00134,"Cummins, Pat",5635467876,,Test+Pat@goringo.com,04/12/2023,Rose Staffing,Assignment Completed,Accounts Payable Clerk,one,Northeast,South West ,Front site,"Accounts Payable,Code,Outlook",Hn34,,Blue Hills,Connecticut,34234,United States,
REQ-ADVE-00134,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,04/21/2023,Epic Staffing,Assignment Completed,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00134,"Fury, Nick",,7654334567,test@goringo.com,04/14/2023,Rose Staffing,Rejected,Accountant -  CA,one,Northeast,South West ,Front site,Ability to Prioritize,r,,Alamosa,Colorado,23455,United States,
REQ-ADVE-00134,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,05/04/2023,Epic Staffing,Withdrawn,Web Content Designer - CA,one,Northeast,South West ,Front site,Computer Experience,y,,Abanda,Alabama,87646,United States,
